id,title,category,published_date,word_count
SEBI-042,Circular on Portfolio Management Services,Circular,2024-12-22,374
SEBI-043,Press Release on Real Estate Investment Trusts (REITs),Press Release,2024-11-27,380
SEBI-044,Notification on Mutual Fund Compliance,Notification,2024-08-19,373
SEBI-045,Amendment on Insider Trading Regulations,Amendment,2024-04-26,373
SEBI-046,Circular on Real Estate Investment Trusts (REITs),Circular,2026-01-09,378
SEBI-047,Press Release on Insider Trading Regulations,Press Release,2025-05-19,376
SEBI-048,Notification on Mutual Fund Compliance,Notification,2024-07-24,374
SEBI-049,Press Release on Alternative Investment Funds,Press Release,2024-12-08,376
SEBI-050,Press Release on Research Analyst Regulations,Press Release,2025-01-16,377
SEBI-051,Amendment on Delisting Procedures,Amendment,2024-11-29,372
SEBI-052,Notification on Portfolio Management Services,Notification,2025-10-23,374
SEBI-053,Guidelines on Takeover Regulations,Guidelines,2026-01-07,371
SEBI-054,Notification on Insider Trading Regulations,Notification,2025-06-18,374
SEBI-055,Press Release on Portfolio Management Services,Press Release,2025-06-12,377
SEBI-056,Amendment on Stock Exchange Listing Requirements,Amendment,2024-10-01,376
SEBI-057,Notification on Delisting Procedures,Notification,2024-09-29,371
SEBI-058,Press Release on Disclosure Requirements,Press Release,2024-11-30,375
SEBI-059,Amendment on Foreign Portfolio Investors,Amendment,2025-06-16,373
SEBI-060,Master Circular on Stock Exchange Listing Requirements,Master Circular,2025-04-24,378
SEBI-061,Notification on Depository Participants Guidelines,Notification,2024-11-04,373
SEBI-062,Guidelines on Depository Participants Guidelines,Guidelines,2025-05-11,373
SEBI-063,Guidelines on Investment Advisers Registration,Guidelines,2024-12-26,373
SEBI-064,Notification on Stock Exchange Listing Requirements,Notification,2025-01-13,375
SEBI-065,Notification on Disclosure Requirements,Notification,2024-09-02,372
SEBI-066,Notification on Delisting Procedures,Notification,2024-04-04,372
SEBI-067,Notification on Alternative Investment Funds,Notification,2024-02-13,374
SEBI-068,Circular on Delisting Procedures,Circular,2024-07-21,372
SEBI-069,Master Circular on Portfolio Management Services,Master Circular,2024-05-04,377
SEBI-070,Circular on Investment Advisers Registration,Circular,2024-03-14,374
SEBI-071,Press Release on Research Analyst Regulations,Press Release,2024-10-25,377
SEBI-072,Circular on Mutual Fund Compliance,Circular,2025-09-17,373
SEBI-073,Notification on Investment Advisers Registration,Notification,2025-03-02,373
SEBI-074,Circular on Takeover Regulations,Circular,2024-06-27,372
SEBI-075,Guidelines on Portfolio Management Services,Guidelines,2025-05-02,373
SEBI-076,Master Circular on Research Analyst Regulations,Master Circular,2025-09-15,377
SEBI-077,Press Release on Real Estate Investment Trusts (REITs),Press Release,2024-04-09,381
SEBI-078,Circular on Portfolio Management Services,Circular,2024-11-29,373
SEBI-079,Amendment on Disclosure Requirements,Amendment,2025-03-09,371
SEBI-080,Press Release on Stock Exchange Listing Requirements,Press Release,2025-04-26,379
SEBI-081,Press Release on Delisting Procedures,Press Release,2024-08-31,375
SEBI-082,Notification on Delisting Procedures,Notification,2026-01-28,372
SEBI-083,Press Release on Disclosure Requirements,Press Release,2025-09-29,375
SEBI-084,Amendment on Alternative Investment Funds,Amendment,2025-11-15,374
SEBI-085,Guidelines on Mutual Fund Compliance,Guidelines,2025-09-22,373
SEBI-086,Amendment on Foreign Portfolio Investors,Amendment,2024-07-07,374
SEBI-087,Press Release on Real Estate Investment Trusts (REITs),Press Release,2024-05-10,381
SEBI-088,Circular on Alternative Investment Funds,Circular,2025-10-18,374
SEBI-089,Master Circular on Depository Participants Guidelines,Master Circular,2024-04-30,377
SEBI-090,Circular on Stock Exchange Listing Requirements,Circular,2025-08-09,376
SEBI-091,Amendment on Stock Exchange Listing Requirements,Amendment,2025-11-10,376
SEBI-092,Master Circular on Portfolio Management Services,Master Circular,2024-07-22,377
SEBI-093,Notification on Credit Rating Agencies,Notification,2025-12-23,373
SEBI-094,Master Circular on Insider Trading Regulations,Master Circular,2024-09-17,377
SEBI-095,Circular on Delisting Procedures,Circular,2025-08-10,372
SEBI-096,Guidelines on Corporate Governance Norms,Guidelines,2024-05-10,374
SEBI-097,Amendment on Stock Exchange Listing Requirements,Amendment,2026-01-20,376
SEBI-098,Amendment on Stock Exchange Listing Requirements,Amendment,2025-09-20,376
SEBI-099,Guidelines on Real Estate Investment Trusts (REITs),Guidelines,2025-11-27,378
SEBI-100,Master Circular on Research Analyst Regulations,Master Circular,2026-01-22,376
