id,title,category,text,source,source_type,date
63,SEBI Regulation 63,Compliance Reporting,The regulation states that designated persons should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2020-09-12
64,SEBI Regulation 64,Risk Management,Non-compliance with transaction monitoring by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2021-10-10
65,SEBI Regulation 65,Mutual Funds,SEBI mandates that all listed companies must comply with insider trading restrictions. Failure may result in penalties up to Rs. 34 crores.,SEBI,synthetic,2024-07-10
66,SEBI Regulation 66,Risk Management,The regulation states that market intermediaries should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2022-02-27
67,SEBI Regulation 67,Insider Trading,The regulation states that stock brokers should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2022-10-01
68,SEBI Regulation 68,IPO Regulations,SEBI mandates that all stock brokers must comply with transaction monitoring. Failure may result in penalties up to Rs. 37 crores.,SEBI,synthetic,2023-09-24
69,SEBI Regulation 69,IPO Regulations,Non-compliance with KYC documentation by designated persons may attract penalties and legal action.,SEBI,synthetic,2021-10-14
70,SEBI Regulation 70,Mutual Funds,Non-compliance with transaction monitoring by portfolio managers may attract penalties and legal action.,SEBI,synthetic,2023-09-22
71,SEBI Regulation 71,Stock Brokers,"Under SEBI guidelines, designated persons are required to disclose financial disclosures within 4 days.",SEBI,synthetic,2024-03-15
72,SEBI Regulation 72,Stock Brokers,The regulation states that portfolio managers should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2021-06-18
73,SEBI Regulation 73,Compliance Reporting,"As per SEBI circular, designated persons must ensure insider trading restrictions to avoid violations.",SEBI,synthetic,2024-07-21
74,SEBI Regulation 74,Insider Trading,Non-compliance with financial disclosures by stock brokers may attract penalties and legal action.,SEBI,synthetic,2021-06-15
75,SEBI Regulation 75,KYC Norms,SEBI mandates that all portfolio managers must comply with audit records. Failure may result in penalties up to Rs. 16 crores.,SEBI,synthetic,2023-10-07
76,SEBI Regulation 76,Corporate Governance,"Under SEBI guidelines, stock brokers are required to disclose audit records within 7 days.",SEBI,synthetic,2020-09-12
77,SEBI Regulation 77,Mutual Funds,"As per SEBI circular, listed companies must ensure audit records to avoid violations.",SEBI,synthetic,2023-07-13
78,SEBI Regulation 78,Compliance Reporting,SEBI mandates that all mutual fund houses must comply with KYC documentation. Failure may result in penalties up to Rs. 36 crores.,SEBI,synthetic,2021-10-31
79,SEBI Regulation 79,Risk Management,"Under SEBI guidelines, mutual fund houses are required to disclose risk assessment reports within 2 days.",SEBI,synthetic,2022-08-06
80,SEBI Regulation 80,KYC Norms,Non-compliance with risk assessment reports by designated persons may attract penalties and legal action.,SEBI,synthetic,2021-07-28
81,SEBI Regulation 81,Risk Management,SEBI mandates that all stock brokers must comply with financial disclosures. Failure may result in penalties up to Rs. 42 crores.,SEBI,synthetic,2020-06-20
82,SEBI Regulation 82,Risk Management,SEBI mandates that all stock brokers must comply with financial disclosures. Failure may result in penalties up to Rs. 46 crores.,SEBI,synthetic,2022-01-30
83,SEBI Regulation 83,KYC Norms,SEBI mandates that all market intermediaries must comply with insider trading restrictions. Failure may result in penalties up to Rs. 10 crores.,SEBI,synthetic,2020-04-25
84,SEBI Regulation 84,Stock Brokers,SEBI mandates that all mutual fund houses must comply with insider trading restrictions. Failure may result in penalties up to Rs. 36 crores.,SEBI,synthetic,2020-08-19
85,SEBI Regulation 85,Insider Trading,"As per SEBI circular, mutual fund houses must ensure insider trading restrictions to avoid violations.",SEBI,synthetic,2024-10-19
86,SEBI Regulation 86,Mutual Funds,"Under SEBI guidelines, market intermediaries are required to disclose audit records within 1 days.",SEBI,synthetic,2020-09-05
87,SEBI Regulation 87,IPO Regulations,SEBI mandates that all designated persons must comply with insider trading restrictions. Failure may result in penalties up to Rs. 22 crores.,SEBI,synthetic,2024-01-09
88,SEBI Regulation 88,Insider Trading,SEBI mandates that all market intermediaries must comply with audit records. Failure may result in penalties up to Rs. 2 crores.,SEBI,synthetic,2021-09-13
89,SEBI Regulation 89,Compliance Reporting,"Under SEBI guidelines, listed companies are required to disclose risk assessment reports within 1 days.",SEBI,synthetic,2020-04-14
90,SEBI Regulation 90,Compliance Reporting,SEBI mandates that all listed companies must comply with KYC documentation. Failure may result in penalties up to Rs. 19 crores.,SEBI,synthetic,2022-04-10
91,SEBI Regulation 91,Stock Brokers,The regulation states that stock brokers should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2020-10-21
92,SEBI Regulation 92,KYC Norms,Non-compliance with audit records by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2020-05-06
93,SEBI Regulation 93,KYC Norms,"Under SEBI guidelines, portfolio managers are required to disclose risk assessment reports within 7 days.",SEBI,synthetic,2021-12-09
94,SEBI Regulation 94,Risk Management,"As per SEBI circular, designated persons must ensure insider trading restrictions to avoid violations.",SEBI,synthetic,2023-01-08
95,SEBI Regulation 95,Risk Management,"As per SEBI circular, mutual fund houses must ensure KYC documentation to avoid violations.",SEBI,synthetic,2024-01-17
96,SEBI Regulation 96,IPO Regulations,The regulation states that designated persons should maintain risk assessment reports for transparency and compliance.,SEBI,synthetic,2023-12-17
97,SEBI Regulation 97,Mutual Funds,"Under SEBI guidelines, mutual fund houses are required to disclose risk assessment reports within 8 days.",SEBI,synthetic,2024-10-26
98,SEBI Regulation 98,Stock Brokers,"Under SEBI guidelines, portfolio managers are required to disclose insider trading restrictions within 5 days.",SEBI,synthetic,2023-07-01
99,SEBI Regulation 99,IPO Regulations,SEBI mandates that all market intermediaries must comply with audit records. Failure may result in penalties up to Rs. 21 crores.,SEBI,synthetic,2020-06-29
100,SEBI Regulation 100,KYC Norms,Non-compliance with financial disclosures by listed companies may attract penalties and legal action.,SEBI,synthetic,2020-07-02
101,SEBI Regulation 101,Corporate Governance,Non-compliance with insider trading restrictions by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2022-08-28
102,SEBI Regulation 102,Compliance Reporting,SEBI mandates that all market intermediaries must comply with audit records. Failure may result in penalties up to Rs. 12 crores.,SEBI,synthetic,2024-11-20
103,SEBI Regulation 103,Risk Management,SEBI mandates that all mutual fund houses must comply with transaction monitoring. Failure may result in penalties up to Rs. 45 crores.,SEBI,synthetic,2024-03-10
104,SEBI Regulation 104,Insider Trading,Non-compliance with audit records by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2022-08-20
105,SEBI Regulation 105,Mutual Funds,"As per SEBI circular, designated persons must ensure KYC documentation to avoid violations.",SEBI,synthetic,2024-12-08
106,SEBI Regulation 106,Risk Management,"As per SEBI circular, portfolio managers must ensure risk assessment reports to avoid violations.",SEBI,synthetic,2024-08-31
107,SEBI Regulation 107,IPO Regulations,Non-compliance with risk assessment reports by designated persons may attract penalties and legal action.,SEBI,synthetic,2021-01-23
108,SEBI Regulation 108,Stock Brokers,The regulation states that listed companies should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2023-02-14
109,SEBI Regulation 109,Stock Brokers,"Under SEBI guidelines, market intermediaries are required to disclose risk assessment reports within 1 days.",SEBI,synthetic,2022-11-25
110,SEBI Regulation 110,IPO Regulations,"As per SEBI circular, market intermediaries must ensure insider trading restrictions to avoid violations.",SEBI,synthetic,2024-02-24
111,SEBI Regulation 111,Insider Trading,"Under SEBI guidelines, stock brokers are required to disclose risk assessment reports within 1 days.",SEBI,synthetic,2022-02-12
112,SEBI Regulation 112,Compliance Reporting,The regulation states that stock brokers should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2021-06-02
113,SEBI Regulation 113,IPO Regulations,"As per SEBI circular, portfolio managers must ensure transaction monitoring to avoid violations.",SEBI,synthetic,2023-11-23
114,SEBI Regulation 114,Risk Management,Non-compliance with risk assessment reports by stock brokers may attract penalties and legal action.,SEBI,synthetic,2021-07-17
115,SEBI Regulation 115,IPO Regulations,Non-compliance with risk assessment reports by designated persons may attract penalties and legal action.,SEBI,synthetic,2022-03-26
116,SEBI Regulation 116,Insider Trading,The regulation states that listed companies should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2022-04-23
117,SEBI Regulation 117,Risk Management,"As per SEBI circular, market intermediaries must ensure financial disclosures to avoid violations.",SEBI,synthetic,2020-09-12
118,SEBI Regulation 118,Compliance Reporting,"Under SEBI guidelines, market intermediaries are required to disclose financial disclosures within 8 days.",SEBI,synthetic,2022-07-14
119,SEBI Regulation 119,Corporate Governance,The regulation states that market intermediaries should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2024-08-15
120,SEBI Regulation 120,Insider Trading,Non-compliance with financial disclosures by listed companies may attract penalties and legal action.,SEBI,synthetic,2024-05-18
121,SEBI Regulation 121,KYC Norms,The regulation states that market intermediaries should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2024-08-10
122,SEBI Regulation 122,Compliance Reporting,"As per SEBI circular, portfolio managers must ensure risk assessment reports to avoid violations.",SEBI,synthetic,2021-05-04
123,SEBI Regulation 123,Insider Trading,The regulation states that portfolio managers should maintain risk assessment reports for transparency and compliance.,SEBI,synthetic,2024-09-15
124,SEBI Regulation 124,Risk Management,Non-compliance with risk assessment reports by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2023-11-07
125,SEBI Regulation 125,Insider Trading,"As per SEBI circular, mutual fund houses must ensure audit records to avoid violations.",SEBI,synthetic,2020-02-25
126,SEBI Regulation 126,Risk Management,SEBI mandates that all portfolio managers must comply with insider trading restrictions. Failure may result in penalties up to Rs. 27 crores.,SEBI,synthetic,2024-11-11
127,SEBI Regulation 127,Insider Trading,SEBI mandates that all listed companies must comply with transaction monitoring. Failure may result in penalties up to Rs. 1 crores.,SEBI,synthetic,2020-07-07
128,SEBI Regulation 128,Compliance Reporting,Non-compliance with risk assessment reports by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2021-02-26
129,SEBI Regulation 129,Insider Trading,The regulation states that portfolio managers should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2023-07-20
130,SEBI Regulation 130,Mutual Funds,Non-compliance with insider trading restrictions by portfolio managers may attract penalties and legal action.,SEBI,synthetic,2023-12-07
131,SEBI Regulation 131,Risk Management,Non-compliance with KYC documentation by portfolio managers may attract penalties and legal action.,SEBI,synthetic,2022-07-20
132,SEBI Regulation 132,Compliance Reporting,"As per SEBI circular, mutual fund houses must ensure KYC documentation to avoid violations.",SEBI,synthetic,2023-10-26
133,SEBI Regulation 133,Corporate Governance,The regulation states that mutual fund houses should maintain risk assessment reports for transparency and compliance.,SEBI,synthetic,2024-12-17
134,SEBI Regulation 134,Stock Brokers,SEBI mandates that all designated persons must comply with financial disclosures. Failure may result in penalties up to Rs. 37 crores.,SEBI,synthetic,2021-12-23
135,SEBI Regulation 135,Mutual Funds,"As per SEBI circular, mutual fund houses must ensure transaction monitoring to avoid violations.",SEBI,synthetic,2023-09-25
136,SEBI Regulation 136,Mutual Funds,SEBI mandates that all designated persons must comply with KYC documentation. Failure may result in penalties up to Rs. 1 crores.,SEBI,synthetic,2024-05-15
137,SEBI Regulation 137,Compliance Reporting,Non-compliance with transaction monitoring by portfolio managers may attract penalties and legal action.,SEBI,synthetic,2021-06-28
138,SEBI Regulation 138,KYC Norms,Non-compliance with risk assessment reports by listed companies may attract penalties and legal action.,SEBI,synthetic,2024-05-17
139,SEBI Regulation 139,Stock Brokers,"As per SEBI circular, portfolio managers must ensure insider trading restrictions to avoid violations.",SEBI,synthetic,2024-07-21
140,SEBI Regulation 140,Insider Trading,The regulation states that mutual fund houses should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2021-01-24
141,SEBI Regulation 141,Corporate Governance,SEBI mandates that all market intermediaries must comply with KYC documentation. Failure may result in penalties up to Rs. 28 crores.,SEBI,synthetic,2024-04-15
142,SEBI Regulation 142,Corporate Governance,"As per SEBI circular, market intermediaries must ensure audit records to avoid violations.",SEBI,synthetic,2020-09-18
143,SEBI Regulation 143,Insider Trading,Non-compliance with financial disclosures by designated persons may attract penalties and legal action.,SEBI,synthetic,2022-04-21
144,SEBI Regulation 144,Corporate Governance,Non-compliance with audit records by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2020-11-12
145,SEBI Regulation 145,Compliance Reporting,Non-compliance with audit records by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2021-04-12
146,SEBI Regulation 146,KYC Norms,SEBI mandates that all stock brokers must comply with KYC documentation. Failure may result in penalties up to Rs. 50 crores.,SEBI,synthetic,2023-07-18
147,SEBI Regulation 147,Mutual Funds,Non-compliance with KYC documentation by listed companies may attract penalties and legal action.,SEBI,synthetic,2020-09-06
148,SEBI Regulation 148,KYC Norms,Non-compliance with KYC documentation by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2021-12-02
149,SEBI Regulation 149,Stock Brokers,"As per SEBI circular, mutual fund houses must ensure KYC documentation to avoid violations.",SEBI,synthetic,2024-03-19
150,SEBI Regulation 150,Corporate Governance,The regulation states that mutual fund houses should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2023-12-02
151,SEBI Regulation 151,Risk Management,Non-compliance with audit records by portfolio managers may attract penalties and legal action.,SEBI,synthetic,2023-04-02
152,SEBI Regulation 152,KYC Norms,The regulation states that portfolio managers should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2023-09-22
153,SEBI Regulation 153,Mutual Funds,"Under SEBI guidelines, stock brokers are required to disclose insider trading restrictions within 4 days.",SEBI,synthetic,2022-01-07
154,SEBI Regulation 154,Corporate Governance,SEBI mandates that all stock brokers must comply with KYC documentation. Failure may result in penalties up to Rs. 2 crores.,SEBI,synthetic,2021-07-14
155,SEBI Regulation 155,Compliance Reporting,"As per SEBI circular, mutual fund houses must ensure audit records to avoid violations.",SEBI,synthetic,2021-06-30
156,SEBI Regulation 156,Compliance Reporting,"Under SEBI guidelines, market intermediaries are required to disclose insider trading restrictions within 9 days.",SEBI,synthetic,2020-08-23
157,SEBI Regulation 157,KYC Norms,Non-compliance with insider trading restrictions by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2024-03-05
158,SEBI Regulation 158,Stock Brokers,SEBI mandates that all mutual fund houses must comply with risk assessment reports. Failure may result in penalties up to Rs. 48 crores.,SEBI,synthetic,2022-04-12
159,SEBI Regulation 159,Insider Trading,Non-compliance with risk assessment reports by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2021-07-21
160,SEBI Regulation 160,KYC Norms,"As per SEBI circular, market intermediaries must ensure insider trading restrictions to avoid violations.",SEBI,synthetic,2020-07-05
161,SEBI Regulation 161,Stock Brokers,Non-compliance with KYC documentation by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2022-12-17
162,SEBI Regulation 162,IPO Regulations,"Under SEBI guidelines, stock brokers are required to disclose audit records within 7 days.",SEBI,synthetic,2021-11-11
163,SEBI Regulation 163,IPO Regulations,SEBI mandates that all market intermediaries must comply with transaction monitoring. Failure may result in penalties up to Rs. 47 crores.,SEBI,synthetic,2021-04-06
164,SEBI Regulation 164,IPO Regulations,Non-compliance with risk assessment reports by designated persons may attract penalties and legal action.,SEBI,synthetic,2020-02-11
165,SEBI Regulation 165,Stock Brokers,Non-compliance with transaction monitoring by portfolio managers may attract penalties and legal action.,SEBI,synthetic,2022-02-27
166,SEBI Regulation 166,Mutual Funds,The regulation states that mutual fund houses should maintain audit records for transparency and compliance.,SEBI,synthetic,2022-01-24
167,SEBI Regulation 167,IPO Regulations,The regulation states that portfolio managers should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2021-10-10
168,SEBI Regulation 168,IPO Regulations,"Under SEBI guidelines, portfolio managers are required to disclose KYC documentation within 4 days.",SEBI,synthetic,2022-11-07
169,SEBI Regulation 169,Risk Management,"Under SEBI guidelines, stock brokers are required to disclose audit records within 4 days.",SEBI,synthetic,2022-05-15
170,SEBI Regulation 170,Corporate Governance,"As per SEBI circular, portfolio managers must ensure financial disclosures to avoid violations.",SEBI,synthetic,2023-05-09
171,SEBI Regulation 171,KYC Norms,"Under SEBI guidelines, listed companies are required to disclose financial disclosures within 6 days.",SEBI,synthetic,2021-10-25
172,SEBI Regulation 172,Risk Management,The regulation states that designated persons should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2023-10-25
173,SEBI Regulation 173,Risk Management,SEBI mandates that all designated persons must comply with risk assessment reports. Failure may result in penalties up to Rs. 44 crores.,SEBI,synthetic,2022-11-02
174,SEBI Regulation 174,IPO Regulations,"As per SEBI circular, portfolio managers must ensure KYC documentation to avoid violations.",SEBI,synthetic,2020-05-20
175,SEBI Regulation 175,Risk Management,"Under SEBI guidelines, stock brokers are required to disclose KYC documentation within 6 days.",SEBI,synthetic,2020-08-01
176,SEBI Regulation 176,IPO Regulations,"As per SEBI circular, listed companies must ensure financial disclosures to avoid violations.",SEBI,synthetic,2021-07-09
177,SEBI Regulation 177,Mutual Funds,"As per SEBI circular, mutual fund houses must ensure risk assessment reports to avoid violations.",SEBI,synthetic,2022-12-13
178,SEBI Regulation 178,Stock Brokers,The regulation states that portfolio managers should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2024-06-05
179,SEBI Regulation 179,Stock Brokers,SEBI mandates that all designated persons must comply with audit records. Failure may result in penalties up to Rs. 47 crores.,SEBI,synthetic,2020-10-10
180,SEBI Regulation 180,Insider Trading,"As per SEBI circular, listed companies must ensure transaction monitoring to avoid violations.",SEBI,synthetic,2020-09-22
181,SEBI Regulation 181,IPO Regulations,The regulation states that designated persons should maintain audit records for transparency and compliance.,SEBI,synthetic,2022-06-21
182,SEBI Regulation 182,Risk Management,The regulation states that designated persons should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2022-08-10
183,SEBI Regulation 183,Corporate Governance,The regulation states that designated persons should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2023-05-30
184,SEBI Regulation 184,Stock Brokers,SEBI mandates that all mutual fund houses must comply with KYC documentation. Failure may result in penalties up to Rs. 12 crores.,SEBI,synthetic,2024-01-11
185,SEBI Regulation 185,Insider Trading,SEBI mandates that all listed companies must comply with risk assessment reports. Failure may result in penalties up to Rs. 1 crores.,SEBI,synthetic,2022-06-10
186,SEBI Regulation 186,Risk Management,The regulation states that designated persons should maintain risk assessment reports for transparency and compliance.,SEBI,synthetic,2020-09-18
187,SEBI Regulation 187,Compliance Reporting,The regulation states that designated persons should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2021-08-01
188,SEBI Regulation 188,Corporate Governance,"As per SEBI circular, mutual fund houses must ensure insider trading restrictions to avoid violations.",SEBI,synthetic,2021-05-10
189,SEBI Regulation 189,IPO Regulations,The regulation states that market intermediaries should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2022-11-16
